Dense Rank,Standard Rank,Username,Display Name,Match_1_Team_Short,Match_1_Points,Match_2_Team_Short,Match_2_Points,Match_3_Team_Short,Match_3_Points,Match_4_Team_Short,Match_4_Points,Match_5_Team_Short,Match_5_Points,Match_6_Team_Short,Match_6_Points,Match_7_Team_Short,Match_7_Points,Match_8_Team_Short,Match_8_Points,Match_9_Team_Short,Match_9_Points,Match_10_Team_Short,Match_10_Points,Match_11_Team_Short,Match_11_Points,Match_12_Team_Short,Match_12_Points,Match_13_Team_Short,Match_13_Points,Match_14_Team_Short,Match_14_Points,Total_Points
7,22,croco_boya,Croco,SRH,0.0,CSK,0.0,---,0.0,LSG,1.0,CSK,0.0,---,0.0,KKR,0.0,---,0.0,---,0.0,KKR,1.0,LSG,1.0,CSK,0.0,RR,2.0,SRH,0.0,5.0
7,22,darkwolf_newbie,Darkwolf,SRH,0.0,---,0.0,KKR,1.0,SRH,0.0,---,0.0,---,0.0,KKR,0.0,LSG,0.0,GT,1.0,SRH,0.0,LSG,1.0,DC,2.0,---,0.0,SRH,0.0,5.0
7,22,rishavmaiti,rishavmaiti,SRH,0.0,CSK,0.0,---,0.0,---,0.0,RCB,1.0,MI,0.0,MI,1.0,LSG,0.0,GT,1.0,---,0.0,---,0.0,---,0.0,RR,2.0,SRH,0.0,5.0
8,26,csharp21,CSharp,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,MI,0.0,DC,2.0,RR,2.0,---,0.0,4.0
8,26,dag_21,daggr,SRH,0.0,CSK,0.0,RR,0.0,SRH,0.0,---,0.0,---,0.0,MI,1.0,PBKS,1.0,---,0.0,---,0.0,---,0.0,DC,2.0,PBKS,0.0,SRH,0.0,4.0
8,26,elprofesor6338,Èl Profesor™,SRH,0.0,CSK,0.0,---,0.0,---,0.0,---,0.0,MI,0.0,KKR,0.0,PBKS,1.0,RCB,0.0,---,0.0,LSG,1.0,CSK,0.0,RR,2.0,SRH,0.0,4.0
8,26,fezvaz,Vaz,SRH,0.0,CSK,0.0,---,0.0,SRH,0.0,RCB,1.0,---,0.0,KKR,0.0,---,0.0,RCB,0.0,KKR,1.0,MI,0.0,DC,2.0,PBKS,0.0,SRH,0.0,4.0
8,26,pkmkb6011,Sunny Paaji,---,0.0,---,0.0,---,0.0,---,0.0,RCB,1.0,GT,1.0,---,0.0,LSG,0.0,RCB,0.0,---,0.0,---,0.0,CSK,0.0,---,0.0,GT,2.0,4.0
8,26,the_mizer,DrVimp,SRH,0.0,CSK,0.0,KKR,1.0,SRH,0.0,CSK,0.0,MI,0.0,MI,1.0,LSG,0.0,GT,1.0,KKR,1.0,MI,0.0,CSK,0.0,PBKS,0.0,SRH,0.0,4.0
8,26,vader8726,vader,---,0.0,---,0.0,KKR,1.0,LSG,1.0,RCB,1.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,LSG,1.0,---,0.0,---,0.0,---,0.0,4.0
9,33,emptycases,J,---,0.0,---,0.0,---,0.0,SRH,0.0,CSK,0.0,MI,0.0,KKR,0.0,PBKS,1.0,GT,1.0,SRH,0.0,LSG,1.0,CSK,0.0,PBKS,0.0,SRH,0.0,3.0
9,33,gane_sh,Gane_sh,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,PBKS,1.0,---,0.0,---,0.0,MI,0.0,CSK,0.0,RR,2.0,---,0.0,3.0
9,33,gladiator30,Gladiator,SRH,0.0,CSK,0.0,RR,0.0,SRH,0.0,RCB,1.0,MI,0.0,MI,1.0,PBKS,1.0,RCB,0.0,SRH,0.0,MI,0.0,CSK,0.0,PBKS,0.0,SRH,0.0,3.0
9,33,iamthathit,IamthatHit,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,RCB,0.0,SRH,0.0,LSG,1.0,---,0.0,---,0.0,GT,2.0,3.0
10,37,1nv1nc1b1e18,Him.,---,0.0,---,0.0,---,0.0,---,0.0,RCB,1.0,GT,1.0,---,0.0,---,0.0,RCB,0.0,SRH,0.0,---,0.0,---,0.0,---,0.0,---,0.0,2.0
10,37,asterayah,Zarathon,---,0.0,---,0.0,---,0.0,LSG,1.0,RCB,1.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,2.0
10,37,bigshikki,BigShik,---,0.0,RR,2.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,2.0
10,37,cdgamers14,cdgamers😎,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,RCB,0.0,KKR,1.0,LSG,1.0,---,0.0,---,0.0,---,0.0,2.0
10,37,fawaz4413,,SRH,0.0,CSK,0.0,RR,0.0,SRH,0.0,---,0.0,GT,1.0,---,0.0,PBKS,1.0,RCB,0.0,SRH,0.0,MI,0.0,CSK,0.0,PBKS,0.0,---,0.0,2.0
10,37,insane_dwane,Insane_Dwane,SRH,0.0,---,0.0,---,0.0,---,0.0,RCB,1.0,GT,1.0,KKR,0.0,LSG,0.0,RCB,0.0,SRH,0.0,MI,0.0,---,0.0,---,0.0,SRH,0.0,2.0
10,37,nullpixel96,Nullpixel96,---,0.0,---,0.0,---,0.0,SRH,0.0,RCB,1.0,GT,1.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,SRH,0.0,2.0
11,44,aayush1965070,Aayush196,---,0.0,---,0.0,KKR,1.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,1.0
11,44,amangoyal,Aman,---,0.0,---,0.0,KKR,1.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,1.0
11,44,dudhwalaop69,DudhWalaOP,---,0.0,---,0.0,KKR,1.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,1.0
11,44,garageembark,DEFALT,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,PBKS,1.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,1.0
11,44,itsdomtoretto,Dom,---,0.0,---,0.0,KKR,1.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,1.0
11,44,jayzus01,Jayan,---,0.0,---,0.0,KKR,1.0,---,0.0,CSK,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,1.0
11,44,lelouch1806,lelouch,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,SRH,0.0,LSG,1.0,---,0.0,---,0.0,---,0.0,1.0
11,44,light083969,Light,---,0.0,---,0.0,---,0.0,---,0.0,RCB,1.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,1.0
11,44,liv4sid,Sid,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,LSG,1.0,---,0.0,---,0.0,---,0.0,1.0
11,44,sayaks05,Cold_fart10,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,PBKS,1.0,---,0.0,---,0.0,MI,0.0,---,0.0,---,0.0,---,0.0,1.0
11,44,shieldofachielles,shield of Achielles,---,0.0,CSK,0.0,---,0.0,---,0.0,CSK,0.0,GT,1.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,1.0
11,44,singh84,Singh,---,0.0,---,0.0,KKR,1.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,1.0
11,44,speedsterjk,SpeedsterJK,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,PBKS,1.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,1.0
12,57,.selmonbhai,Tanjiro kamado,---,0.0,---,0.0,RR,0.0,SRH,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,0.0
12,57,_simplet0n,ZePHyR,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,RCB,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,0.0
12,57,aakashmangla,Babu Bhaiya,---,0.0,---,0.0,RR,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,0.0
