Dense Rank,Standard Rank,Username,Display Name,Match_1_Team_Short,Match_1_Points,Match_2_Team_Short,Match_2_Points,Match_3_Team_Short,Match_3_Points,Match_4_Team_Short,Match_4_Points,Match_5_Team_Short,Match_5_Points,Match_6_Team_Short,Match_6_Points,Match_7_Team_Short,Match_7_Points,Match_8_Team_Short,Match_8_Points,Total_Points
1,1,tushar07019,,GT,1.0,DC,1.0,MI,1.0,RCB,3.0,SRH,1.0,PBKS,0.0,MI,2.0,RCB,2.0,11.0
2,2,jadelessbarukan,jadeless,GT,1.0,LSG,0.0,MI,1.0,RCB,3.0,SRH,1.0,PBKS,0.0,MI,2.0,RCB,2.0,10.0
3,3,apurv5411,APURV,GT,1.0,LSG,0.0,MI,1.0,RCB,3.0,CSK,0.0,PBKS,0.0,MI,2.0,RCB,2.0,9.0
3,3,insane_dwane,Insane_Dwane,KKR,0.0,DC,1.0,SRH,0.0,RCB,3.0,SRH,1.0,KKR,0.0,MI,2.0,RCB,2.0,9.0
3,3,maverick7749,Mav,GT,1.0,LSG,0.0,MI,1.0,RCB,3.0,CSK,0.0,PBKS,0.0,MI,2.0,RCB,2.0,9.0
3,3,reflekt_11,Reflekt,,,DC,1.0,MI,1.0,RCB,3.0,CSK,0.0,PBKS,0.0,MI,2.0,RCB,2.0,9.0
4,7,emptycases,J,GT,1.0,DC,1.0,SRH,0.0,RCB,3.0,SRH,1.0,KKR,0.0,MI,2.0,DC,0.0,8.0
4,7,fezvaz,Vaz,KKR,0.0,DC,1.0,SRH,0.0,RCB,3.0,CSK,0.0,KKR,0.0,MI,2.0,RCB,2.0,8.0
4,7,roguehunter15,RogueHunter,GT,1.0,LSG,0.0,---,0.0,RCB,3.0,CSK,0.0,PBKS,0.0,MI,2.0,RCB,2.0,8.0
4,7,slidemaster0547,Slide Master,GT,1.0,LSG,0.0,MI,1.0,RCB,3.0,SRH,1.0,PBKS,0.0,LSG,0.0,RCB,2.0,8.0
5,11,aaryangupta23,Aaryan,,,,,,,RCB,3.0,CSK,0.0,---,0.0,MI,2.0,RCB,2.0,7.0
