Username,Display Name,Match_1_Team_Short,Match_1_Points,Match_2_Team_Short,Match_2_Points,Match_3_Team_Short,Match_3_Points,Match_4_Team_Short,Match_4_Points,Match_5_Team_Short,Match_5_Points,Match_6_Team_Short,Match_6_Points,Match_7_Team_Short,Match_7_Points,Match_8_Team_Short,Match_8_Points,Match_9_Team_Short,Match_9_Points,Match_10_Team_Short,Match_10_Points,Match_11_Team_Short,Match_11_Points,Match_12_Team_Short,Match_12_Points,Match_13_Team_Short,Match_13_Points,Match_14_Team_Short,Match_14_Points,Match_15_Team_Short,Match_15_Points,Match_16_Team_Short,Match_16_Points,Match_17_Team_Short,Match_17_Points,Match_18_Team_Short,Match_18_Points,Match_19_Team_Short,Match_19_Points,Match_20_Team_Short,Match_20_Points,Match_21_Team_Short,Match_21_Points,Match_22_Team_Short,Match_22_Points,Match_23_Team_Short,Match_23_Points,Match_24_Team_Short,Match_24_Points,Total_Points
iamzeus,iAmZeus,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,KKR,0.0,PBKS,1.5,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,1.5
_simplet0n,ZePHyR,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,RCB,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,RCB,1.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,1.0
aayush1965070,Aayush196,---,0.0,---,0.0,KKR,1.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,1.0
amangoyal,Aman,---,0.0,---,0.0,KKR,1.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,1.0
dudhwalaop69,DudhWalaOP,---,0.0,---,0.0,KKR,1.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,1.0
garageembark,DEFALT,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,PBKS,1.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,1.0
itsdomtoretto,Dom,---,0.0,---,0.0,KKR,1.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,1.0
jayzus01,Jayan,---,0.0,---,0.0,KKR,1.0,---,0.0,CSK,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,1.0
light083969,Light,---,0.0,---,0.0,---,0.0,---,0.0,RCB,1.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,1.0
liv4sid,Sid,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,LSG,1.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,1.0
