Dense Rank,Dense Rank Movement,Standard Rank,Standard Rank Movement,Username,Display Name,Week1,Week2,Week3,Week4,Total
36,N,62,N,gandalf_the_wizard,,0.0,0.0,0.0,1.0,1.0
36,↓9,62,↓10,itsdomtoretto,Dom,1.0,0.0,0.0,0.0,1.0
36,↓9,62,↓10,jayzus01,Jayan,1.0,0.0,0.0,0.0,1.0
36,↓9,62,↓10,liv4sid,Sid,0.0,1.0,0.0,0.0,1.0
36,↓9,62,↓10,sayaks05,Cold_fart10,0.0,1.0,0.0,0.0,1.0
36,↓9,62,↓10,shieldofachielles,shield of Achielles,1.0,0.0,0.0,0.0,1.0
36,↓8,62,↑3,soul_999.,SOUL_999,0.0,0.0,0.0,1.0,1.0
36,↓9,62,↓10,speedsterjk,SpeedsterJK,0.0,1.0,0.0,0.0,1.0
36,N,62,N,theflash5512,The Flash,0.0,0.0,0.0,1.0,1.0
37,↓9,80,↓15,.agentvic,agentVic,0.0,0.0,0.0,0.0,0.0
37,↓9,80,↓15,.selmonbhai,Tanjiro kamado,0.0,0.0,0.0,0.0,0.0
37,↓9,80,↓15,aakashmangla,Babu Bhaiya,0.0,0.0,0.0,0.0,0.0
37,↓9,80,↓15,colac07,Colac,0.0,0.0,0.0,0.0,0.0
37,↓9,80,↓15,d3vilbring3r,d3vilbring3r,0.0,0.0,0.0,0.0,0.0
37,↓9,80,↓15,drunk6202,DRUNK GAMBLER 🍻,0.0,0.0,0.0,0.0,0.0
37,N,80,N,fenil_fez,fenil_fez,0.0,0.0,0.0,0.0,0.0
37,↓9,80,↓15,ffirsty,FIRSTY,0.0,0.0,0.0,0.0,0.0
37,N,80,N,hg2.0.,HG 2.0,0.0,0.0,0.0,0.0,0.0
37,N,80,N,izzaanaaaa,izaanaaaa,0.0,0.0,0.0,0.0,0.0
37,N,80,N,jeki4318,Jeki,0.0,0.0,0.0,0.0,0.0
37,N,80,N,jhalayashraj,jhalayashraj,0.0,0.0,0.0,0.0,0.0
37,N,80,N,madhavm14,maddy,0.0,0.0,0.0,0.0,0.0
37,↓9,80,↓15,mrj619,MrJ619,0.0,0.0,0.0,0.0,0.0
37,↓9,80,↓15,nftprofessor,NFTProfessor,0.0,0.0,0.0,0.0,0.0
37,N,80,N,raj_kar,Raj,0.0,0.0,0.0,0.0,0.0
37,↓9,80,↓15,riq9634,Riq,0.0,0.0,0.0,0.0,0.0
37,↓9,80,↓15,rithick_devaraj,rithick_devaraj,0.0,0.0,0.0,0.0,0.0
37,↓9,80,↓15,sauzz,Sauzz,0.0,0.0,0.0,0.0,0.0
37,N,80,N,theredscorpio,HOMELANDER,0.0,0.0,0.0,0.0,0.0
37,↓9,80,↓15,weezyf.baby_,WEEZY F. Baby,0.0,0.0,0.0,0.0,0.0
