Dense Rank,Standard Rank,Username,Display Name,Match_1_Team_Short,Match_1_Points,Match_2_Team_Short,Match_2_Points,Match_3_Team_Short,Match_3_Points,Match_4_Team_Short,Match_4_Points,Match_5_Team_Short,Match_5_Points,Match_6_Team_Short,Match_6_Points,Total_Points
8,42,d3vilbring3r,d3vilbring3r,RR,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,0.0
8,42,dag_21,daggr,RR,0.0,SRH,0.0,---,0.0,---,0.0,SRH,0.0,CSK,0.0,0.0
8,42,elprofesor6338,Èl Profesor™,---,0.0,---,0.0,---,0.0,MI,0.0,SRH,0.0,CSK,0.0,0.0
8,42,emptycases,J,---,0.0,SRH,0.0,CSK,0.0,MI,0.0,---,0.0,---,0.0,0.0
8,42,gamerpradosh,Gamer Pradosh,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,CSK,0.0,0.0
8,42,jubilant_chipmunk_76062,,RR,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,0.0
8,42,mrj619,MrJ619,RR,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,0.0
8,42,nftprofessor,NFTProfessor,---,0.0,SRH,0.0,CSK,0.0,---,0.0,---,0.0,---,0.0,0.0
8,42,reflekt_11,Reflekt,RR,0.0,SRH,0.0,CSK,0.0,---,0.0,SRH,0.0,CSK,0.0,0.0
8,42,riq9634,Riq,---,0.0,---,0.0,CSK,0.0,---,0.0,---,0.0,---,0.0,0.0
8,42,rithick_devaraj,rithick_devaraj,RR,0.0,---,0.0,---,0.0,---,0.0,---,0.0,---,0.0,0.0
8,42,sauzz,Sauzz,---,0.0,SRH,0.0,---,0.0,---,0.0,---,0.0,---,0.0,0.0
8,42,sriprakash,Sri Prakash,---,0.0,SRH,0.0,CSK,0.0,---,0.0,SRH,0.0,CSK,0.0,0.0
